locality,age_ma,lat,lon,paleolat_hinsbergen2015,environment
"Wijkberget, Spitsbergen",57.0,77.461,16.793,66.58,Shallow shelf
"Arrheniusfjellet, Spitsbergen",57.0,77.41,16.45,66.51,Shallow shelf
"Arrheniusfjellet, Spitsbergen",59.0,77.41,16.45,66.32,Shallow shelf
"Wijkberget, Spitsbergen",59.0,77.461,16.793,66.38,Shallow shelf
"Heerodden, Spitsbergen ",59.0,78.103,14.233,66.9,Shallow shelf
"Hollendarbukta, Spitsbergen",59.0,78.105,14.541,66.91,Shallow shelf
"Adventtoppen, Spitsbergen",59.0,78.26,15.7117,67.12,Shallow shelf
"Heerfjellet, Spitsbergen",59.0,77.985,14.413,66.79,Shallow shelf
"Firkanten, Spitsbergen",59.0,77.60925,15.3322,66.46,Shallow shelf
"Borehole 16-2011, Spitsbergen",59.0,78.013443,10.812502,66.68,Shallow shelf
"Borehole BH1-2004, Spitsbergen",59.0,77.914757,10.459014,66.57,Shallow shelf
"Sveagruva, Spitsbergen",59.0,77.867,16.4854,66.77,Shallow shelf
"Richterelva, Spitsbergen",59.0,77.628,15.33,66.48,Shallow shelf
"Borebukta, Spitsbergen",59.0,78.42,14.06,67.2,Shallow shelf
"Øyrlandet, Spitsbergen",59.0,76.63,16.393,65.55,Shallow shelf
"Dumskolten, Bettybukta, Spitsbergen",59.0,76.7,17.06,65.65,Shallow shelf
"Heerodden, Spitsbergen",59.0,78.1,14.19,66.9,Shallow shelf
"Isskoldalen, Spitsbergen",59.0,77.83,14.86,66.66,Shallow shelf
"Nipildalen, Spitsbergen",59.0,77.707,15.238,66.55,Shallow shelf
"Hegdehogfjellet, Spitsbergen",59.0,76.96223,17.24381,65.92,Shallow shelf
"Vassdalen 2-3 boreholes, Spitsbergen",59.0,77.806079,15.032719,66.55,Shallow shelf
"Rusanovodden, Spitsbergen",59.0,78.14717,15.00458,66.98,Shallow shelf
"Isfjorden coast north from Oppkuven, Spitsbergen",59.0,78.102,14.529,66.91,Shallow shelf
"Banks Island, Arctic Canada",60.0,73,-121.5,75.8,Shallow shelf
"Banks Island, site 13, Arctic Canada",60.0,74.4772,-121.06695,76.3,Shallow shelf
"Nipildalen, Spitsbergen",62.0,77.6968,15.204,66.61,Shallow shelf
"Friherrefjellet, Spitsbergen",62.0,77.439,15.859,66.38,Shallow shelf
"Dumskolten, Bettybukta, Spitsbergen",62.0,76.7,17.06,65.71,Shallow shelf
"Permpasset, Wollaston Forland",109.0,74.4079,-19.8366,58.52,Shallow shelf
"Ajnyn river, Kamchatka, Russia",110.0,61.971095,165.155009,71.3,Shallow shelf
"Niklekujul Valley, Kamchatka",110.0,62.942698,167.566508,72.71,Shallow shelf
"Vassdalen 2-3 boreholes, Spitsbergen",110.0,77.806079,15.032719,69.04,Shallow shelf
Kellett River,110.0,68.3372,-90.1081,69.04,Shallow shelf
"Festningen, Svalbard",110.0,78.084,14.0407,69.32,Shallow shelf
"Kvalvagen, Spitsbergen",110.0,77.5269,17.5469,68.78,Shallow shelf
"Kjellstromdalen, Spitsbergen",110.0,77.9752,17.1637,69.22,Shallow shelf
"Isachen Dome, Ellef Ringnes Island",110.0,78.449,-102.18,77.4,Shallow shelf
"Kilen, N. Greenland",110.0,81.2216,-13.8975,64.21,Shallow shelf
"Basilika, Spitsbergen",110.0,77.474,15.764,68.71,Shallow shelf
"Langryggen, Spitsbergen",110.0,77.376,15.965,68.62,Shallow shelf
"Airport Road Section, Svalbard",110.0,78.224307,15.604956,69.46,Shallow shelf
"Glacier Fjord, Axel Heilberg Island",110.0,78.6297,-89.8687,74.68,Shallow shelf
"Airport Road Section, Svalbard",110.0,78.22437,15.60525,69.46,Shallow shelf
"Strand Fjord (section C2), Axel Heiberg Island",110.0,79.256174,-90.256256,75.43,Shallow shelf
"Kanyon river, NE Russia",113.0,65.1286,166.2956,74.78,Shallow shelf
"Ellef Ringnes, CH1 section",113.0,78.823,-101.345,76.65,Shallow shelf
"Ellef Ringnes, CH2 section",113.0,78.211,-100.181,76.26,Shallow shelf
"Umkuveem river, Russia",113.0,65.186,166.0,74.75,Shallow shelf
Amarok river,113.0,79.16864,-92.55116,75.13,Shallow shelf
Axel Heiberg Island,113.0,79.40388,-91.2377,74.98,Shallow shelf
Axel Heiberg Island,113.0,79.392772,-91.250049,74.98,Shallow shelf
"Axel Heiberg Island, Section 50, head of Strand Fjord",115.0,79.2955,-90.7752,74.42,Shallow shelf
"Axel Heiberg Island, Section 54, Middle Kanguk Peninsula ",115.0,79.254,-91.67,74.56,Shallow shelf
Orlovskaya river,115.0,67.1799,163.5927,76.06,Shallow shelf
"White Cliffs, NSW, Australia",115.0,-30.850983,143.085895,-69.26,Shallow shelf
"Strand Fjord (section C2), Axel Heiberg Island",115.0,79.256174,-90.256256,74.31,Shallow shelf
"Bastion Ridge (section C1), Axel Heiberg Island",115.0,79.374821,-90.981354,74.48,Shallow shelf
"Vassdalen 2-3 boreholes, Spitsbergen",115.0,77.806079,15.032719,67.91,Deep shelf
"Petermorra Creek, Eromanga Basin, Australia",115.0,-29.45,139.66,-67.67,Shallow shelf
"Heer Land, Spitsbergen",115.0,77.531756,18.017771,67.66,Deep shelf
"Festningen, Svalbard",115.0,78.084,14.0407,68.19,Deep shelf
"McKenzie King Island, Canada",115.0,77.89,-110.971,77.91,Shelf
"Coober Pedy, S. Australia",115.0,-28.965657,134.802625,-66.45,Shelf
"Grumant 1 borehole, Spitsbergen",115.0,78.103828,14.962341,68.21,Deep shelf
"Grumantbyen, Spitsbergen",115.0,78.17498,15.10689,68.28,Shelf
"Airport Road Section, Svalbard",115.0,78.133288,15.363996,68.24,Deep shelf
"Kilen, N. Greenland",115.0,81.2216,-13.8975,63.14,Shelf
"Kilen, N. Greenland",115.0,81.2384,-13.8368,63.15,Shelf
"Amund Ringnes Island, Piercement dome",115.0,78.5257,-97.4583,75.38,Shelf
"Amund Ringnes Island, Geologist Bay",115.0,78.5988,-96.2097,75.17,Shelf
"Amund Ringnes Island, Structural River",115.0,78.3239,-95.1767,74.88,Shelf
"Glacier Fjord, Axel Heilberg Island",115.0,78.6297,-89.8687,74.01,Shelf
"Station 16-DTA-13, Banks Island, Arctic Canada",115.0,73.970138,-119.650794,78.84,Shallow shelf
"Station 16-DTA-21, Banks Island, Arctic Canada",115.0,74.422276,-120.860402,79.31,Shallow shelf
Bolshoi Anyui river,116.0,66.739925,164.914337,76.26,Shelf
"Agardhbukta, Spitsbergen",117.0,78.07,18.75,67.76,Shallow shelf
"Airport Road Section, Svalbard",117.0,78.133288,15.363996,67.79,Shallow shelf
"Borehole DH5,R Svalbard",117.0,78.1979,15.8506,67.86,Shallow shelf
"Ledovaya-2 well, Barents Sea shelf, Russia",126.0,74.020833,47.071944,62.51,Shallow shelf
"Sassenfjorden, Svalbard",131.0,78.354397,16.062502,63.24,Shallow shelf
"Syltoppen, Spitsbergen",131.0,78.437,14.27,63.29,Shallow shelf
"Festningen, Svalbard",131.0,78.10137,13.9199,62.94,Shallow shelf
"Borehole DH-5, Svalbard",131.0,78.1979,15.8506,63.08,Shallow shelf
"Borehole DH-2, Svalbard",131.0,78.2358,15.5472,63.11,Shallow shelf
"Janusfjellet Mt, Spitsbergen",131.0,78.3318,15.8463,63.22,Shallow shelf
"Myklegardfjellet Mt, Spitsbergen",131.0,78.055222,18.704278,63.02,Shallow shelf
"DH4 borehole, Spitsbergen",131.0,78.2024,15.8295,63.09,Shallow shelf
"Canning river, Northern Alaska, USA",132.0,69.4,-146.15,79.76,Shallow shelf
Novoyakimovskaya 1 borehole,134.0,71.753472,90.901194,64.93,Shallow shelf
"Bolshoi Begitcev island, Russia",134.0,74.083779,112.778976,70.94,Shallow shelf
"Nordvik, Russia",134.0,73.871,112.945,70.86,Shallow shelf
"Preobrazheniya Island, Russia",134.0,74.657,112.977,71.31,Shallow shelf
"Bohemanflya, Spitsbergen",135.0,78.409056,14.688583,62.16,Shallow shelf
"Festningen, Spitsbergen",135.0,78.09924,13.94159,61.84,Shelf
"Ellef Ringnes, DB1 section",135.0,78.795,-103.12,70.03,Shelf
"Ellef Ringnes, DB2 section",135.0,78.997,-103.82,70.2,Shelf
Ellef Ringnes Island,135.0,78.657,-102.983,69.98,Shelf
Amund Ringnes Island,135.0,78.765,-98.265,69.11,Shelf
"Osipa River, Taimyr, Russia",135.0,74.730071,111.953828,71.12,Shallow shelf
